Study ID;Title;Authors;RQ 1.1 Year;RQ 1.2 Venue;RQ 1.3 Country;RQ 1.4 Author's affiliation;RQ 1.4 Author's affiliation;RQ 1.5 Company;RQ 1.5 Company;RQ 1.6 Research results;RQ 2.1 Analytics type;RQ 2.2 Data Source;RQ 2.3 Methods;RQ 3.1 BDA purpose;RQ 3.2 Agile purpose;RQ 3.3 Tools
S1;Predicting Development Effort from User Stories;Abrahamsson, Ilenia Fronza, Raimund Moser, Jelena Vlasenko, Witold Pedrycz;2011;ESEM;4 x Italy/1 x Canada;Academic;"Free Univeristy of Bolzano-Bozen
University of Alberta";not disclosed (2 companies);1 x Italy;Procedure or technique;Predictive;Source code;SVM/Neural networks/stepwise linear regression;1.4. Requirements Analysis - 1.4.4 Requirements negotiation/7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Custom XP/Refactoring/Sprint/Iteration planning/Pair programming/Story mapping/Test-driven development (TDD)/Team-based estimation (e.g. Planning Poker);No
S2;Comparative Analysis of Predictive Techniques for Release Readiness Classification ;Alam, M. R. Karim, D. Pfahl, and G. Ruhe;2016;RAISE;3 x Canada/1 x Estonia;Academic;"University of Calgary
University of Tartu";N/A;N/A;Procedure or technique;Predictive;Issue reports;Naive Bayes/CART/KNN/C4.5 Decision tree/SVM/ADABoost/BaggedADABoost/Stochastic Gradient Boosting/Random Forest ;6.6. Software Release Management and Delivery - 6.6.2. Software Release Management;Apache Software Foundation;No
S3;Release readiness classification: An explorative case study;Alam, S. Didar, D. Pfahl, and G. Ruhe;2016;ESEM;2 x Canada/1 x Estonia;Academic;"University of Calgary
University of Tartu";N/A;N/A;Procedure or technique;Predictive;Issue reports;Random Forest;6.6. Software Release Management and Delivery - 6.6.2. Software Release Management;Apache Software Foundation;No
S4;Synchronised visualisation of software process and product artefacts: Concept, design and prototype implementation;Mujtaba Alshakhouri, Jim Buchan, Stephen G. MacDonell;2018;IST;3 x New Zealand;Academic;Auckland University of Technology;N/A;N/A;Tool;Descriptive;User feedback;N/A;1.4. Requirements Analysis/7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum;ScrumCity
S5;WhoDo: automating reviewer suggestions at scale;Sumit Asthana,  Rahul Kumar,  Ranjita Bhagwan,  Christian Bird,  Chetan Bansal, Chandra Maddila, Sonu Mehta, B. Ashok;2019;ESEC/FSE;7 x India/1 x USA;Industry;Microsoft India, Microsoft USA;Microsoft;Global (India, USA);Tool;Predictive;Logs;Custom algorithm;10.2 Software Quality Management Processes - 10.2.3. Reviews and Audits;Peer code reviews;WhoDo
S6;Deploying Software Team Analytics in a Multinational Organization;Augustine, John Hudepohl, Przemyslaw Marcinczak, Will Snipes;2018;IEEE Software;3 x USA/1 x Poland;Industry;ABB;ABB;Global (USA);Tool;Descriptive;Project artifacts/Source code/Organization data;N/A;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/7.2 Software project planning - 7.2.4. Resource allocation;Scrum;Qlik Sense Metrics Portal
S7;Who Can Maintain This Code?: Assessing the Effectiveness of Repository-Mining Techniques for Identifying Software Maintainers;Guilherme Avelino, Leonardo Passos, Fabio Petrillo, Marco Tulio Valente;2019;IEEE Software;2 x Brazil/2 x USA;Both;Federal University of Minas Gerais, Federal University of Piaui, Quantstamp Technologies, Concordia University;not disclosed (2 companies);1 x Brazil, 1 x Canada;Solution, prototype or judgment;Descriptive/Predictive;Project execution;Linear regression model;5.2 Key Issues in Software Maintenance - 5.2.2. Management Issues;Collective code ownership;N/A
S8;Identifying Wasted Effort in the Field via Developer Interaction Data;Balogh, Gábor Antal, Árpád Beszédes, László Vidács, Tibor Gyimóthy, and Ádám Zoltán Végh;2015;ICSME;6 x Hungary;Both;"University of Szeged
AENSys Informatics Ltd.";AENSys Informatics Ltd.;Hungary;Procedure or technique;Descriptive;Logs/Source code;N/A;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified;N/A
S9;Predicting failures in agile software development through data analytics;Batarseh, Feras A and Gonzalez, Avelino J;2018;Software Quality Journal;2 x USA;Academic;"George Mason University
University of Central Florida";N/A;N/A;Procedure or technique;Predictive;Project execution;Regression models/Traditional statistics;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified/Iteration/sprint planning;N/A
S10;Besouro: A framework for exploring compliance rules in automatic TDD behavior assessment;Becker, Bruno de Souza Costa Pedroso, Marcelo Soares Pimenta, Ricardo Pezzuol Jacobi;2015;IST;4 x Brazil;Academic;"Universidade Federal do Rio Grande do Sul
Universidddade Nacional de Brasilia";N/A;N/A;Qualitative or descriptive model;Prescriptive;User feedback/Logs;Traditional statistics;3.4. Construction Technologies - 3.4.16. Test-First Programming;Other - Not Specified/Test-driven development (TDD);Besouro
S11;High-level software requirements and iteration changes: a predictive model;Kelly Blincoe, Ali Dehghan, Abdoul-Djawadou Salaou, Adam Neal, Johan Linaker, Daniela Damian;2019;Empirical Software Engineering;1 x New Zealand / 3 x Canada / 1 x Sweden;Both;University of Auckland, University of Victoria, Persistent Systems, Lund University;Persistent Systems;Global;Procedure or technique;Predictive;Project artifacts;Random Forest;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/1.7 Practical Considerations - 1.7.5 Measuring Requirements;N/A;N/A
S12;Measuring and Monitoring Agile Development Status ;Boerman, Zeeger Lubsen, Damian A. Tamburri, Joost Visser;2015;WETSoM;4 x Netherlands;Both;"SIG
VU University Amsterdam
Radboud University Nijmegen";"a Dutch government
organization";Netherlands;Empirical model;Descriptive;Project artifacts;N/A;7.6. Software Engineering Measurement/7.4. Review and Evaluation - 7.4.2 Reviewing and Evaluating Performance;Other - Not Specified/Sprint/Iteration planning;N/A
S13;Software testing with code-based test generators: data and lessons learned from a case study with an industrial software component;Braione, Giovanni Denaro, Andrea Mattavelli, Mattia Vivanti, and Ali Muhammad;2014;Software Quality Journal;2 x Italy/2 x Switzerland/1 x Finland;Both;VTT Technical Research Centre of Finland;VTT;Finland;Solution, prototype or judgment;Predictive;Logs;N/A;4.6 Software Testing Tools - 4.6.2. Categories of Tools;Other - Not Specified;N/A
S14;Learning for Test Prioritization: An Industrial Case Study;Busjaeger, Tao Xie ;2016;ESEC/FSE;2 x USA;Both;"Salesforce
University of Illinois, Urbana-Champaign";Salesforce;Global (USA);Solution, prototype or judgment;Predictive;Source code;SVM;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified/Continuous integration;N/A
S15;Assessing the impact of real-time machine translation on multilingual meetings in global software projects;Calefato, Filippo Lanubile, Tayana Conte, Rafael Prikladnicki;2015;Empirical Software Engineering;2 x Italy/2 x Brazil;Academic;"University of Bari
Universidade Federal de Amazonas
Pontificia Universidade Catolica do Rio Grande do Sul";N/A;N/A;Solution, prototype or judgment;Predictive;User feedback;N/A;7.6. Software Engineering Measurement/1.4. Requirements Analysis - 1.4.4 Requirements negotiation;Other - Not Specified/Team-based estimation (e.g. Planning Poker);eConferenceMT
S16;Measure Early and Decide Fast: Transforming Quality Management and Measurement to Continuous Deploymen;Gül Çal?kl?, Miroslaw Staron, Wilhelm Meding;2018;ICSSP;3 x Sweden;Both;Chalmers | University of Gothenburg, Ericsson;not disclosed;not disclosed;Procedure or technique;Descriptive;User feedback;N/A;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement/7.6. Software Engineering Measurement;Continuous integration/continuous delivery/continuous deployment;N/A
S17;A clustering approach to improving test case prioritization: An industrial case study;Carlson, H. Do, and A. Denton;2011;ICSME;3 x USA;Both;"Microsoft
North Dakota State University";Microsoft;USA;Solution, prototype or judgment;Predictive;Logs/Source code;Clustering;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified;N/A
S18;AR-Miner: Mining Informative Reviews for Developers from Mobile App Marketplace;Chen, Jialiu Liny, Steven C. H. Hoi, Xiaokui Xiao, Boshen Zhang;2014;ICSE;4 x Singapore/1 x USA;Academic;"Nanyang Technological University, Singapore
Carnegie Mellon University";N/A;N/A;Tool;Descriptive;User feedback;Expectation Maximization for Naive Bayes (EMNB);10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified;AR-Miner
S19;Predicting the delay of issues with due dates in software projects;Choetkiertikul, Hoa Khanh Dam, Truyen Tran, Aditya Ghose;2017;Empirical Software Engineering;4 x Australia;Academic;"School of Computing and Information Technology, Faculty of Engineering and Information Sciences, University of Wollongong, Wollongong, Australia
School of Information Technology, Deakin University, Deakin, Australia";N/A;N/A;Procedure or technique;Predictive;Issue reports;Neural networks/Stochastic Gradient Boosting Machines;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement/7.2 Software project planning - 7.2.5. Risk Management;Apache Software Foundation;N/A
S20;Predicting Delivery Capability in Iterative Software Development;Choetkiertikul, Morakot and Dam, Hoa Khanh and Tran, Truyen and Ghose, Aditya and Grundy, John;2018;TSE;5 x Australia;Academic;"University of Wollongong
Deakin University";N/A;N/A;Procedure or technique;Predictive;Issue reports;Deep learning/Neural networks/Random Forests/Stochastic Gradient Boosting Machines;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Apache Software Foundation;N/A
S21;A deep learning model for estimating story points;Choetkiertikul, M and Dam, H K and Tran, T and Pham, T T M and Ghose, A and Menzies, T;2019;TSE;5 x Australia/1 x USA;Academic;"University of Wollongong
Deakin University
North Carolina State University";N/A;N/A;Procedure or technique;Predictive;Issue reports;Deep learning/Neural networks/Recurrent highway network;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;N/A;N/A
S22;Combining data analytics and developers feedback for identifying reasons of inaccurate estimations in agile software development;Marco Conoscenti, Veronika Besner, Antonio Vetrò, Daniel Méndez Fernández;2019;JSS;2 x Italy/2 x Germany;Academic;Politecnico di Torino, Technical University Munich;N/A;Germany;Solution, prototype or judgment;Descriptive/Predictive;Project artifacts/Project execution;Naive Bayes;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum/Story mapping/Sprint/Iteration planning/Team-based estimation (e.g. Planning Poker);Unnamed
S23;Stochastic Performance Analysis of Global Software Development Teams;Czekster,  Paulo Fernandes, Lucelene Lopes, Afonso Sales,  Alan R. Santos, Thais Webber;2016;TOSEM;6 x Brazil;Academic;"Univeristy of Santa Cruz do Sul
PUCRS University";not disclosed (1 company);N/A;Empirical model;Predictive;;Stochastic automata networks (SAN);7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/7.2 Software project planning - 7.2.4. Resource allocation;Other - Not Specified;N/A
S24;CODEMINE: Building a Software Development Data Analytics Platform at Microsoft;Czerwonka, Nachiappan Nagappan, Wolfram Schulte, Brendan Murphy;2013;IEEE Software;4 x USA;Industry;Microsoft;Microsoft;Global (USA);Tool;Predictive;Logs/Project artifacts/Source code/Project execution/Organization data;N/A;7.4. Software Engineering Measurement/8.3 Software Process Assessment and Improvement;Other - Not Specified;Codemine
